record_type,record_id,family_or_stratum,accepted_rows,accepted_tasks,correct_rows,incorrect_rows,accepted_errors,accepted_error_rate,accepted_error_upper_95,counterfactual_correct,candidate_screen,detail,retrospective_only
task,v2_type_06,type_boundary,,,0,3,0,,,,,"{""contract_pattern"":""unanimous_fail"",""contract_signature"":{""declared_type_counts"":{""boolean"":1,""number"":2},""maximum_declared_nesting_depth"":1,""top_level_key_count"":3},""correctness_pattern"":""unanimous_error"",""unique_candidate_count"":1}",True
task,v2_type_07,type_boundary,,,0,3,3,,,,,"{""contract_pattern"":""unanimous_pass"",""contract_signature"":{""declared_type_counts"":{""number"":1,""string"":2},""maximum_declared_nesting_depth"":1,""top_level_key_count"":3},""correctness_pattern"":""unanimous_error"",""unique_candidate_count"":2}",True
task,v2_type_08,type_boundary,,,0,3,0,,,,,"{""contract_pattern"":""unanimous_fail"",""contract_signature"":{""declared_type_counts"":{""number"":1,""string"":1},""maximum_declared_nesting_depth"":1,""top_level_key_count"":2},""correctness_pattern"":""unanimous_error"",""unique_candidate_count"":1}",True
task,v2_type_09,type_boundary,,,3,0,0,,,,,"{""contract_pattern"":""unanimous_pass"",""contract_signature"":{""declared_type_counts"":{""boolean"":1,""string"":1},""maximum_declared_nesting_depth"":1,""top_level_key_count"":2},""correctness_pattern"":""unanimous_correct"",""unique_candidate_count"":1}",True
task,v2_type_10,type_boundary,,,0,3,0,,,,,"{""contract_pattern"":""unanimous_fail"",""contract_signature"":{""declared_type_counts"":{""number"":1,""string"":1},""maximum_declared_nesting_depth"":1,""top_level_key_count"":2},""correctness_pattern"":""unanimous_error"",""unique_candidate_count"":1}",True
task,v2_nested_01,nested_collection,,,0,3,0,,,,,"{""contract_pattern"":""unanimous_fail"",""contract_signature"":{""declared_type_counts"":{""array"":1,""number"":1,""string"":1},""maximum_declared_nesting_depth"":2,""top_level_key_count"":3},""correctness_pattern"":""unanimous_error"",""unique_candidate_count"":1}",True
task,v2_nested_02,nested_collection,,,0,3,3,,,,,"{""contract_pattern"":""unanimous_pass"",""contract_signature"":{""declared_type_counts"":{""object"":1,""string"":1},""maximum_declared_nesting_depth"":2,""top_level_key_count"":2},""correctness_pattern"":""unanimous_error"",""unique_candidate_count"":1}",True
task,v2_nested_03,nested_collection,,,0,3,0,,,,,"{""contract_pattern"":""unanimous_fail"",""contract_signature"":{""declared_type_counts"":{""array"":1,""boolean"":1,""string"":1},""maximum_declared_nesting_depth"":2,""top_level_key_count"":3},""correctness_pattern"":""unanimous_error"",""unique_candidate_count"":1}",True
task,v2_nested_04,nested_collection,,,0,3,0,,,,,"{""contract_pattern"":""unanimous_fail"",""contract_signature"":{""declared_type_counts"":{""object"":1,""string"":1},""maximum_declared_nesting_depth"":2,""top_level_key_count"":2},""correctness_pattern"":""unanimous_error"",""unique_candidate_count"":1}",True
task,v2_nested_05,nested_collection,,,0,3,2,,,,,"{""contract_pattern"":""mixed_contract_status"",""contract_signature"":{""declared_type_counts"":{""array"":1,""string"":1},""maximum_declared_nesting_depth"":2,""top_level_key_count"":2},""correctness_pattern"":""unanimous_error"",""unique_candidate_count"":2}",True
task,v2_nested_06,nested_collection,,,0,3,0,,,,,"{""contract_pattern"":""unanimous_fail"",""contract_signature"":{""declared_type_counts"":{""object"":1,""string"":1},""maximum_declared_nesting_depth"":2,""top_level_key_count"":2},""correctness_pattern"":""unanimous_error"",""unique_candidate_count"":2}",True
task,v2_nested_07,nested_collection,,,0,3,0,,,,,"{""contract_pattern"":""unanimous_fail"",""contract_signature"":{""declared_type_counts"":{""array"":1,""object"":1,""string"":1},""maximum_declared_nesting_depth"":2,""top_level_key_count"":3},""correctness_pattern"":""unanimous_error"",""unique_candidate_count"":1}",True
task,v2_nested_08,nested_collection,,,0,3,0,,,,,"{""contract_pattern"":""unanimous_fail"",""contract_signature"":{""declared_type_counts"":{""array"":1,""number"":1},""maximum_declared_nesting_depth"":2,""top_level_key_count"":2},""correctness_pattern"":""unanimous_error"",""unique_candidate_count"":1}",True
task,v2_nested_09,nested_collection,,,0,3,0,,,,,"{""contract_pattern"":""unanimous_fail"",""contract_signature"":{""declared_type_counts"":{""boolean"":1,""object"":1,""string"":1},""maximum_declared_nesting_depth"":2,""top_level_key_count"":3},""correctness_pattern"":""unanimous_error"",""unique_candidate_count"":1}",True
task,v2_nested_10,nested_collection,,,0,3,0,,,,,"{""contract_pattern"":""unanimous_fail"",""contract_signature"":{""declared_type_counts"":{""array"":1,""object"":1,""string"":1},""maximum_declared_nesting_depth"":2,""top_level_key_count"":3},""correctness_pattern"":""unanimous_error"",""unique_candidate_count"":1}",True
subgroup,contract_pass,contract_pass,39,14,16,23,23,0.5897435897435898,0.7230985087401105,83,NOT_A_CANDIDATE,"{""features"":[""contract_status""],""label"":""contract PASS""}",True
subgroup,contract_pass_single_stratum:flat_scalar,contract_pass_single_stratum,13,5,7,6,6,0.46153846153846156,0.7129509972056112,99,NOT_A_CANDIDATE,"{""features"":[""contract_status"",""stratum""],""label"":""contract PASS and stratum=flat_scalar""}",True
subgroup,contract_pass_single_stratum:record_selection,contract_pass_single_stratum,9,3,0,9,9,1.0,1.0,96,NOT_A_CANDIDATE,"{""features"":[""contract_status"",""stratum""],""label"":""contract PASS and stratum=record_selection""}",True
subgroup,contract_pass_single_stratum:type_boundary,contract_pass_single_stratum,12,4,9,3,3,0.25,0.5273266035603439,102,NOT_A_CANDIDATE,"{""features"":[""contract_status"",""stratum""],""label"":""contract PASS and stratum=type_boundary""}",True
subgroup,contract_pass_single_stratum:nested_collection,contract_pass_single_stratum,5,2,0,5,5,1.0,1.0,101,NOT_A_CANDIDATE,"{""features"":[""contract_status"",""stratum""],""label"":""contract PASS and stratum=nested_collection""}",True
subgroup,contract_pass_allowlist:flat_scalar,contract_pass_stratum_allowlist,13,5,7,6,6,0.46153846153846156,0.7129509972056112,99,NOT_A_CANDIDATE,"{""features"":[""contract_status"",""stratum""],""label"":""contract PASS and stratum in flat_scalar""}",True
subgroup,contract_pass_allowlist:record_selection,contract_pass_stratum_allowlist,9,3,0,9,9,1.0,1.0,96,NOT_A_CANDIDATE,"{""features"":[""contract_status"",""stratum""],""label"":""contract PASS and stratum in record_selection""}",True
subgroup,contract_pass_allowlist:flat_scalar+record_selection,contract_pass_stratum_allowlist,22,8,7,15,15,0.6818181818181818,0.8400586961448866,90,NOT_A_CANDIDATE,"{""features"":[""contract_status"",""stratum""],""label"":""contract PASS and stratum in flat_scalar+record_selection""}",True
subgroup,contract_pass_allowlist:type_boundary,contract_pass_stratum_allowlist,12,4,9,3,3,0.25,0.5273266035603439,102,NOT_A_CANDIDATE,"{""features"":[""contract_status"",""stratum""],""label"":""contract PASS and stratum in type_boundary""}",True
subgroup,contract_pass_allowlist:flat_scalar+type_boundary,contract_pass_stratum_allowlist,25,9,16,9,9,0.36,0.5439332139229074,96,NOT_A_CANDIDATE,"{""features"":[""contract_status"",""stratum""],""label"":""contract PASS and stratum in flat_scalar+type_boundary""}",True
subgroup,contract_pass_allowlist:record_selection+type_boundary,contract_pass_stratum_allowlist,21,7,9,12,12,0.5714285714285714,0.7550055616916571,93,NOT_A_CANDIDATE,"{""features"":[""contract_status"",""stratum""],""label"":""contract PASS and stratum in record_selection+type_boundary""}",True
subgroup,contract_pass_allowlist:flat_scalar+record_selection+type_boundary,contract_pass_stratum_allowlist,34,12,16,18,18,0.5294117647058824,0.6782303006034112,87,NOT_A_CANDIDATE,"{""features"":[""contract_status"",""stratum""],""label"":""contract PASS and stratum in flat_scalar+record_selection+type_boundary""}",True
subgroup,contract_pass_allowlist:nested_collection,contract_pass_stratum_allowlist,5,2,0,5,5,1.0,1.0,101,NOT_A_CANDIDATE,"{""features"":[""contract_status"",""stratum""],""label"":""contract PASS and stratum in nested_collection""}",True
subgroup,contract_pass_allowlist:flat_scalar+nested_collection,contract_pass_stratum_allowlist,18,7,7,11,11,0.6111111111111112,0.8010467041575084,95,NOT_A_CANDIDATE,"{""features"":[""contract_status"",""stratum""],""label"":""contract PASS and stratum in flat_scalar+nested_collection""}",True
subgroup,contract_pass_allowlist:record_selection+nested_collection,contract_pass_stratum_allowlist,14,5,0,14,14,1.0,1.0,92,NOT_A_CANDIDATE,"{""features"":[""contract_status"",""stratum""],""label"":""contract PASS and stratum in record_selection+nested_collection""}",True
subgroup,contract_pass_allowlist:flat_scalar+record_selection+nested_collection,contract_pass_stratum_allowlist,27,10,7,20,20,0.7407407407407407,0.8714776365150805,86,NOT_A_CANDIDATE,"{""features"":[""contract_status"",""stratum""],""label"":""contract PASS and stratum in flat_scalar+record_selection+nested_collection""}",True
subgroup,contract_pass_allowlist:type_boundary+nested_collection,contract_pass_stratum_allowlist,17,6,9,8,8,0.47058823529411764,0.6891704305217596,98,NOT_A_CANDIDATE,"{""features"":[""contract_status"",""stratum""],""label"":""contract PASS and stratum in type_boundary+nested_collection""}",True
subgroup,contract_pass_allowlist:flat_scalar+type_boundary+nested_collection,contract_pass_stratum_allowlist,30,11,16,14,14,0.4666666666666667,0.6300524448838063,92,NOT_A_CANDIDATE,"{""features"":[""contract_status"",""stratum""],""label"":""contract PASS and stratum in flat_scalar+type_boundary+nested_collection""}",True
subgroup,contract_pass_allowlist:record_selection+type_boundary+nested_collection,contract_pass_stratum_allowlist,26,9,9,17,17,0.6538461538461539,0.8060395506613174,89,NOT_A_CANDIDATE,"{""features"":[""contract_status"",""stratum""],""label"":""contract PASS and stratum in record_selection+type_boundary+nested_collection""}",True
subgroup,contract_pass_allowlist:flat_scalar+record_selection+type_boundary+nested_collection,contract_pass_stratum_allowlist,39,14,16,23,23,0.5897435897435898,0.7230985087401105,83,NOT_A_CANDIDATE,"{""features"":[""contract_status"",""stratum""],""label"":""contract PASS and stratum in flat_scalar+record_selection+type_boundary+nested_collection""}",True
subgroup,preoutput_stratum:flat_scalar,preoutput_stratum,30,10,7,23,23,0.7666666666666667,0.8850131044302612,82,NOT_A_CANDIDATE,"{""features"":[""stratum""],""label"":""stratum=flat_scalar""}",True
subgroup,preoutput_stratum:record_selection,preoutput_stratum,30,10,0,30,30,1.0,1.0,78,NOT_A_CANDIDATE,"{""features"":[""stratum""],""label"":""stratum=record_selection""}",True
subgroup,preoutput_stratum:type_boundary,preoutput_stratum,30,10,9,21,21,0.7,0.8336740443867883,85,NOT_A_CANDIDATE,"{""features"":[""stratum""],""label"":""stratum=type_boundary""}",True
subgroup,preoutput_stratum:nested_collection,preoutput_stratum,30,10,0,30,30,1.0,1.0,86,NOT_A_CANDIDATE,"{""features"":[""stratum""],""label"":""stratum=nested_collection""}",True
subgroup,contract_signature:01,contract_signature,3,1,0,3,3,1.0,1.0,103,NOT_A_CANDIDATE,"{""features"":[""contract_signature""],""label"":""{\""declared_type_counts\"":{\""array\"":1,\""boolean\"":1,\""string\"":1},\""maximum_declared_nesting_depth\"":2,\""top_level_key_count\"":3}""}",True
subgroup,contract_signature:02,contract_signature,3,1,0,3,3,1.0,1.0,102,NOT_A_CANDIDATE,"{""features"":[""contract_signature""],""label"":""{\""declared_type_counts\"":{\""array\"":1,\""number\"":1,\""string\"":1},\""maximum_declared_nesting_depth\"":2,\""top_level_key_count\"":3}""}",True
subgroup,contract_signature:03,contract_signature,3,1,0,3,3,1.0,1.0,102,NOT_A_CANDIDATE,"{""features"":[""contract_signature""],""label"":""{\""declared_type_counts\"":{\""array\"":1,\""number\"":1},\""maximum_declared_nesting_depth\"":2,\""top_level_key_count\"":2}""}",True
subgroup,contract_signature:04,contract_signature,9,3,0,9,9,1.0,1.0,96,NOT_A_CANDIDATE,"{""features"":[""contract_signature""],""label"":""{\""declared_type_counts\"":{\""array\"":1,\""object\"":1,\""string\"":1},\""maximum_declared_nesting_depth\"":2,\""top_level_key_count\"":3}""}",True
subgroup,contract_signature:05,contract_signature,3,1,0,3,3,1.0,1.0,103,NOT_A_CANDIDATE,"{""features"":[""contract_signature""],""label"":""{\""declared_type_counts\"":{\""array\"":1,\""string\"":1},\""maximum_declared_nesting_depth\"":2,\""top_level_key_count\"":2}""}",True
subgroup,contract_signature:06,contract_signature,3,1,0,3,3,1.0,1.0,102,NOT_A_CANDIDATE,"{""features"":[""contract_signature""],""label"":""{\""declared_type_counts\"":{\""boolean\"":1,\""null\"":1,\""string\"":1},\""maximum_declared_nesting_depth\"":1,\""top_level_key_count\"":3}""}",True
subgroup,contract_signature:07,contract_signature,12,4,6,6,6,0.5,0.7547001987258748,100,NOT_A_CANDIDATE,"{""features"":[""contract_signature""],""label"":""{\""declared_type_counts\"":{\""boolean\"":1,\""number\"":1,\""string\"":1},\""maximum_declared_nesting_depth\"":1,\""top_level_key_count\"":3}""}",True
subgroup,contract_signature:08,contract_signature,18,6,1,17,17,0.9444444444444444,0.9971544288684435,88,NOT_A_CANDIDATE,"{""features"":[""contract_signature""],""label"":""{\""declared_type_counts\"":{\""boolean\"":1,\""number\"":1,\""string\"":2},\""maximum_declared_nesting_depth\"":1,\""top_level_key_count\"":4}""}",True
subgroup,contract_signature:09,contract_signature,9,3,3,6,6,0.6666666666666666,0.9022531865607242,99,NOT_A_CANDIDATE,"{""features"":[""contract_signature""],""label"":""{\""declared_type_counts\"":{\""boolean\"":1,\""number\"":2,\""string\"":1},\""maximum_declared_nesting_depth\"":1,\""top_level_key_count\"":4}""}",True
subgroup,contract_signature:10,contract_signature,3,1,0,3,3,1.0,1.0,102,NOT_A_CANDIDATE,"{""features"":[""contract_signature""],""label"":""{\""declared_type_counts\"":{\""boolean\"":1,\""number\"":2},\""maximum_declared_nesting_depth\"":1,\""top_level_key_count\"":3}""}",True
subgroup,contract_signature:11,contract_signature,3,1,0,3,3,1.0,1.0,105,NOT_A_CANDIDATE,"{""features"":[""contract_signature""],""label"":""{\""declared_type_counts\"":{\""boolean\"":1,\""object\"":1,\""string\"":1},\""maximum_declared_nesting_depth\"":2,\""top_level_key_count\"":3}""}",True
subgroup,contract_signature:12,contract_signature,6,2,3,3,3,0.5,0.8468388820247768,103,NOT_A_CANDIDATE,"{""features"":[""contract_signature""],""label"":""{\""declared_type_counts\"":{\""boolean\"":1,\""string\"":1},\""maximum_declared_nesting_depth\"":1,\""top_level_key_count\"":2}""}",True
subgroup,contract_signature:13,contract_signature,6,2,0,6,6,1.0,1.0,100,NOT_A_CANDIDATE,"{""features"":[""contract_signature""],""label"":""{\""declared_type_counts\"":{\""boolean\"":1,\""string\"":2},\""maximum_declared_nesting_depth\"":1,\""top_level_key_count\"":3}""}",True
subgroup,contract_signature:14,contract_signature,15,5,3,12,12,0.8,0.9431531324097533,93,NOT_A_CANDIDATE,"{""features"":[""contract_signature""],""label"":""{\""declared_type_counts\"":{\""number\"":1,\""string\"":1},\""maximum_declared_nesting_depth\"":1,\""top_level_key_count\"":2}""}",True
subgroup,contract_signature:15,contract_signature,12,4,0,12,12,1.0,1.0,94,NOT_A_CANDIDATE,"{""features"":[""contract_signature""],""label"":""{\""declared_type_counts\"":{\""number\"":1,\""string\"":2},\""maximum_declared_nesting_depth\"":1,\""top_level_key_count\"":3}""}",True
subgroup,contract_signature:16,contract_signature,9,3,0,9,9,1.0,1.0,102,NOT_A_CANDIDATE,"{""features"":[""contract_signature""],""label"":""{\""declared_type_counts\"":{\""object\"":1,\""string\"":1},\""maximum_declared_nesting_depth\"":2,\""top_level_key_count\"":2}""}",True
subgroup,contract_signature:17,contract_signature,3,1,0,3,3,1.0,1.0,102,NOT_A_CANDIDATE,"{""features"":[""contract_signature""],""label"":""{\""declared_type_counts\"":{\""string\"":3},\""maximum_declared_nesting_depth\"":1,\""top_level_key_count\"":3}""}",True
subgroup,three_rep_unanimous_pass_and_value,three_repetition_unanimity,33,11,15,18,18,0.5454545454545454,0.6950904202712693,87,NOT_A_CANDIDATE,"{""features"":[""candidate_replication"",""contract_status""],""label"":""three local calls all PASS with identical canonical candidate""}",True
